Season,Stars,Review
1,4.5,"This is an epic masterpiece, a huge free sandbox, a brawl between the seven kingdoms, where humans, ghosts, and dragons fight against each other. The graphics and freshness greatly satisfy the audience."
1,4.5,"Damn why did I wait so long after the show to finally watch, omg this show is phucking awesome"
1,2.5,se não fosse as cenas de sexo nem teria paciência pra ver.
1,1.0,"A ser funado en 3,2,1 pero... no conecte nada medio aburrida."
1,5.0,"Season 1 of Game of Thrones delivers a remarkably robust introduction, featuring a captivating central mystery and a superbly executed conclusion."
1,4.0,Awesome and Enjoy to watch in 2024
1,5.0,"Re-watched this after a decade and it still absolutely engages you. In hindsight, this was a show that definitely changed expectations of what TV can offer. Extremely good storytelling, art, casting, photography... acting.. Absolute master-piece with very few flaws. I remember, when I first watched it, I had no expectations of it ever getting as big as it did, but it conquered the world soon enough."
1,5.0,"PERFEITO, essa trama que nos fez amar GOT"
1,5.0,"The most important epic story on television, Game of Thrones goes far beyond dragons and white walkers and offers us a very raw medieval political drama."
1,4.0,Was very catchy right away!
1,5.0,Everything good about it has already been said. My favorite season of anything ever
1,4.5,"Unbelievably late to the party… However, Game of Thrones is one of the BEST series I've ever watched. I was blindsided headed into the show, not understanding the hype and glorification. Having now watched all 8 seasons of the HBO mediaeval - fantasy, I am in awe of the show. Game of Thrones follows ‘Nine noble families wage war against each other in order to gain control over the mythical land of Westeros. Meanwhile, a force is rising after millenniums and threatens the existence of living men.' According to Google. This series is very well known for its shocking twists and captivating story elements. Which I must say, it can be VERY horrifying (in a good way!). Typically, I'm not very intrigued by shows/movies set ‘way-back-when'. But Game of Thrones had me HOOKED. There are scenes that have still left me in a state of shock. Looking back over the show, I do feel that the last two seasons fall a little flat. Characters seem to behave in ways that feel dishonest to their previous arcs. The final episode is also very controversial amongst fans. Make no mistake, there are some great episodes within these final seasons. For example, ‘The Long Night' and ‘The Spoils of War'. By all means, don't let these opinions influence your decision to watch the show. Game of Thrones is definitely worth the praise that it gets. I would 100% recommend adding this to your watch list."
1,5.0,"Game of Thrones"" estabeleceu um padrão inigualável para narrativas épicas com sua trama complexa e entrelaçada, cativando espectadores temporada após temporada."
1,5.0,"I'm reviewing this season specifically because it needs more love. I'll keep this one short and sweet… from begging to end you are hooked on character development which led to the mass obsession of what is now ""Game of Thrones"" this 1st season 10000000000% connected every watcher. Even those who don't watch fantasy. Between the build up and unexpected character deaths. It hooked people who thought FRIENDS was the best show of all time…"
1,4.5,"The first season is slow, but it is absolutely worth it!"
1,5.0,Masterpiece in every way
1,5.0,Melhor série do mundo!
1,5.0,A great start to the series hooks the person and is curious about what will happen in the next episode
1,5.0,Hands down greatest fantasy television show made to date. If you have not seen this do yourself a favour and do.
1,5.0,"A near flawless season of television carried by awards worthy performances from Sean Bean and Peter Dinklage, the first season of game of thrones captured everything you'd want from an adaptation of George RR martins fantasy saga"
1,3.5,"Was a nice watch, look forward to the rest"
1,4.0,Pretty solid start to the series. It has lots of moving parts and they all come together well. Absolutely insane cliffhanger at the end!
1,5.0,"One of the most intriguing and shocking television shows ever, and it uses the source material to make a wonderful adaptation."
1,5.0,"Game of Thrones, based on the book series A Song of Ice and Fire by George R.R. Martin, is a fantasy drama series that first premiered on HBO in 2011. The series quickly gained a massive following and became one of the most talked-about shows of the decade. Plot: The plot of Game of Thrones follows multiple noble families as they vie for control of the Seven Kingdoms of Westeros. The show is known for its complex and intricate plotlines, which are filled with political intrigue, backstabbing, and plenty of action. While the series starts off fairly slow, it picks up steam as the various plotlines start to converge. One of the most impressive things about the show is its ability to keep viewers guessing - just when you think you know where a storyline is headed, it takes a surprising turn. Acting: The acting in Game of Thrones is generally very strong. The show features a large ensemble cast, and while there are a few weaker performances, for the most part, the actors bring their A-game. Notably, Peter Dinklage's portrayal of Tyrion Lannister is a standout performance, earning him several Emmy awards. The show also features some excellent child actors, which can be a rarity in TV. Cinematography: The cinematography in Game of Thrones is stunning. The show is shot in various locations around the world, and the landscapes are breathtaking. The battle scenes are particularly impressive, with sweeping shots of armies clashing on the field. Additionally, the show makes great use of special effects to bring its fantasy elements to life. Direction: Game of Thrones is well-directed, with many memorable and impactful scenes. One of the show's standout moments is the ""Red Wedding"" episode, which is incredibly well-executed and emotionally devastating. While there are a few missteps in the series (particularly in the later seasons), for the most part, the direction is strong. Music: The music in Game of Thrones is iconic, with composer Ramin Djawadi creating some of the most recognizable TV themes of all time. The score is epic and grand, and it adds a lot to the show's overall feel. Overall, Game of Thrones is a landmark TV series that changed the game for fantasy TV. While there are certainly flaws in the show (particularly in the later seasons), it's hard to deny the impact that it had on popular culture. The show is well-acted, well-directed, and beautifully shot, with a plot that keeps viewers engaged and guessing until the very end. If you're a fan of fantasy or epic dramas, Game of Thrones is definitely worth checking out."
1,5.0,Just Amazing mind Blowing Got Season 🔥🥰
1,5.0,"I wish I could find where to rate the full show. I love GOT! Best ever! HOTD will never be this great and is actually pretty bad. But GOT is excellent! I love everything about it: casting, costumes, scenery, dialogue, CGI... absolutely brilliant! It's sad that House of the Dragons is so awful. I was hoping for another Game of Thrones, but HOTD will never take GOT's crown!"
1,4.0,This is a brutal fantasy world full of injustice but its also one of the best.
1,5.0,Writing : 10/10 Acting : 10/10 Cinematography : 8/10 Costume design : 10/10 Set design : 10/10 CGI Effects 8/10 Artistic vision 10/10 Adaptation ranking : 9/10
1,4.5,One of the best cliffhangers of TV history.
1,5.0,"The first time I watched this season I couldnt really follow the plot as the volume on the old Dvd format was really low, but after the first rewatch it was definitely extremely entertaining and kept me glued to the screen the whole time, a solid 10/10 series, no wonder it still receives so much love and attention to this day."
1,5.0,One of the best shows ever made.
1,5.0,"Seasons 1, 2, 3, and 4 have very good material to work with. The others do not. Skip those and read."
1,5.0,"Amazing! So many characters that you love (or hate). So many different personal stories as well as the overall story bringing them altogether. The way it is told moves you from one character/location to another, and it's perfect. This is one of my favourite shows ever!"
1,5.0,What started everything! This isn't your everyday show. Not for the faint-hearted indeed.
1,2.5,as everyone says the first 4 seasons are good
1,5.0,Great introduction with amazing worldbuilding along with superb acting and writing.
1,1.5,"Extremely slow, tedious, pointless up until I couldn't watch anymore in the middle of the 2nd episode. It's disgusting and I can watch disgusting if there's a point. I kept waiting for the point of it all because of it's popularity and great reviews. Eventually I just couldn't stomach anymore. Honestly can't understand this shows popularity."
1,1.0,Great story masked by relentless chauvinism and tryhard shock value.
1,5.0,excellent season 1 and characters
1,4.0,A good pilot season to the show. Overall the story was inviting for fans who have never read the books and there is enough action and suspense to keep everyone entertained. Great show but lacks in comparison a bit to the seasons to come (and thats a good thing)
1,5.0,Wow! Bring back that LoTR vibe!
1,4.0,"I started watching once they were already a few seasons in, and then I binged. This was the first TV show I ever binged. Once I got started I couldn't stop. I'd never seen anything like it on TV. It was the closest thing to Lord of the Rings as a TV Show. But instead of relying on fantasy/fighting like LOTR, Game of Thrones had the witty banter and strategic maneuvering of a modern-day political drama (sort of like Medieval Hour of Cards). And then, they introduced the Magical creatures: Dragons, White Walkers...and it all started to turn into a Marvel Movie for me. What's the point of all of the strategic maneuvering if it's going to come down to a zombie/dragon fight? And then...the last season happened. While I respect how they completely f****d with everything super fans were hoping for, it was too much happening too quick, and with very little justification. Still, GOT deserves to be in the hall of fame of shows. It completely changed what viewers now expect in a blockbuster tv show."
1,5.0,Great medieval type fantasy show that is not afraid to kill off fan favorite characters. The plot unravels with a realism that is seldom seen in shows. A character is just as likely to die from a random disease or random unforeseen event than they are from a carefully calculated plot device or epic battle. Unfortunately you will be disappointed with the last season that will go on to pretty much erase major plot points and straight ignore character arcs/developments to reach an ending that was told to show runners by the author of the unfinished book series. It feels like due to the lack of source materials showrunners were unsure how to provide a satisfactory path to that ending so they sprinted to the finish line without caution. Fans would have been better served if showrunners took a chance and formed their own ending.
1,5.0,Best fantasy TV show ever made
1,4.0,This season got me hooked to the series since that scene with Daenerys and the fire.
1,5.0,Great show based on a even better book series
